# CSP logarithmically sampled (velscale=50.0)
# Wavelength, SSP_logage_04.00_z_0.0018, SSP_logage_07.50_z_0.0018, SSP_logage_09.00_z_0.0018, SSP_logage_04.00_z_0.0178, SSP_logage_07.50_z_0.0178, SSP_logage_09.00_z_0.0178
4.064899503292332156e+03 1.680765487253665924e-02 3.731042612344026566e-03 5.235215066932141781e-04 1.644379086792469025e-02 3.389505669474601746e-03 4.150435270275920630e-04
4.065577512093049336e+03 1.676571182906627655e-02 3.728710580617189407e-03 5.255163996480405331e-04 1.641060784459114075e-02 3.389989491552114487e-03 4.176773945800960064e-04
4.066255633982892505e+03 1.661987230181694031e-02 3.721174318343400955e-03 5.222523468546569347e-04 1.626366935670375824e-02 3.384025767445564270e-03 4.149170126765966415e-04
4.066933868980725492e+03 1.651553437113761902e-02 3.720964537933468819e-03 5.241907201707363129e-04 1.613970845937728882e-02 3.384492360055446625e-03 4.163441772107034922e-04
4.067612217105413492e+03 1.639102958142757416e-02 3.722222987562417984e-03 5.277480231598019600e-04 1.598630100488662720e-02 3.386427182704210281e-03 4.190377367194741964e-04
4.068290678375825337e+03 1.620470546185970306e-02 3.705417038872838020e-03 5.368107231333851814e-04 1.570161059498786926e-02 3.370425431057810783e-03 4.269602359272539616e-04
4.068969252810834405e+03 1.615898869931697845e-02 3.689119825139641762e-03 5.356470937840640545e-04 1.561933755874633789e-02 3.352538682520389557e-03 4.260932037141174078e-04
4.069647940429314986e+03 1.612139306962490082e-02 3.671129234135150909e-03 5.334134330041706562e-04 1.554699800908565521e-02 3.332567168399691582e-03 4.243206058163195848e-04
4.070326741250145915e+03 1.622674241662025452e-02 3.647799836471676826e-03 5.190102383494377136e-04 1.565502770245075226e-02 3.302900353446602821e-03 4.112153546884655952e-04
4.071005655292209212e+03 1.630341075360774994e-02 3.647936973720788956e-03 5.165272159501910210e-04 1.573700830340385437e-02 3.299871226772665977e-03 4.084964457433670759e-04
4.071684682574389626e+03 1.638043858110904694e-02 3.649719990789890289e-03 5.147193442098796368e-04 1.582026295363903046e-02 3.298470517620444298e-03 4.064071108587086201e-04
4.072363823115574633e+03 1.651054807007312775e-02 3.682713024318218231e-03 5.235996795818209648e-04 1.598116010427474976e-02 3.325030207633972168e-03 4.144917475059628487e-04
4.073043076934656710e+03 1.651895605027675629e-02 3.684250637888908386e-03 5.260672769509255886e-04 1.598055474460124969e-02 3.324127290397882462e-03 4.175190115347504616e-04
4.073722444050528338e+03 1.650687679648399353e-02 3.679942572489380836e-03 5.271687987260520458e-04 1.595391146838665009e-02 3.318435279652476311e-03 4.191938205622136593e-04
4.074401924482088361e+03 1.632223092019557953e-02 3.625326789915561676e-03 5.191187374293804169e-04 1.569399796426296234e-02 3.268855158239603043e-03 4.125302075408399105e-04
4.075081518248236534e+03 1.624081470072269440e-02 3.596344031393527985e-03 5.086063174530863762e-04 1.561249978840351105e-02 3.244389779865741730e-03 4.026011156383901834e-04
4.075761225367877159e+03 1.620624959468841553e-02 3.580038901418447495e-03 4.999880329705774784e-04 1.559353712946176529e-02 3.230817150324583054e-03 3.944289637729525566e-04
4.076441045859916812e+03 1.629407331347465515e-02 3.588412888348102570e-03 4.875482409261167049e-04 1.577095873653888702e-02 3.238980192691087723e-03 3.824957238975912333e-04
4.077120979743266162e+03 1.639098487794399261e-02 3.611927153542637825e-03 4.880279593635350466e-04 1.591898314654827118e-02 3.262409707531332970e-03 3.826664178632199764e-04
4.077801027036837695e+03 1.645394228398799896e-02 3.629921935498714447e-03 4.910476855002343655e-04 1.600955426692962646e-02 3.281476208940148354e-03 3.853408561553806067e-04
4.078481187759547538e+03 1.651856675744056702e-02 3.655989421531558037e-03 5.017144139856100082e-04 1.608690060675144196e-02 3.311793552711606026e-03 3.952492261305451393e-04
4.079161461930316364e+03 1.656088419258594513e-02 3.676584688946604729e-03 5.108876503072679043e-04 1.613582670688629150e-02 3.336417023092508316e-03 4.040404455736279488e-04
4.079841849568065754e+03 1.658192835748195648e-02 3.687404561787843704e-03 5.155814578756690025e-04 1.616153307259082794e-02 3.349127247929573059e-03 4.085922264494001865e-04
4.080522350691721840e+03 1.659826561808586121e-02 3.696937579661607742e-03 5.194843397475779057e-04 1.618419028818607330e-02 3.359906841069459915e-03 4.124788974877446890e-04
4.081202965320214389e+03 1.657737232744693756e-02 3.683463903144001961e-03 5.165017209947109222e-04 1.616446301341056824e-02 3.346692537888884544e-03 4.102833918295800686e-04
4.081883693472474533e+03 1.654928922653198242e-02 3.667489625513553619e-03 5.124835879541933537e-04 1.613169163465499878e-02 3.331396263092756271e-03 4.069298447575420141e-04
4.082564535167437953e+03 1.650282181799411774e-02 3.641876392066478729e-03 5.058313254266977310e-04 1.607506908476352692e-02 3.307031234726309776e-03 4.012265126220881939e-04
4.083245490424043055e+03 1.641384512186050415e-02 3.607581602409482002e-03 4.982199170626699924e-04 1.595603860914707184e-02 3.274774877354502678e-03 3.942780022043734789e-04
4.083926559261231887e+03 1.636613346636295319e-02 3.592297201976180077e-03 4.951310111209750175e-04 1.590009592473506927e-02 3.259313758462667465e-03 3.911133971996605396e-04
4.084607741697948313e+03 1.631454750895500183e-02 3.577227005735039711e-03 4.922564257867634296e-04 1.584330387413501740e-02 3.243457293137907982e-03 3.879548166878521442e-04
4.085289037753141201e+03 1.627986133098602295e-02 3.569056978449225426e-03 4.921605577692389488e-04 1.583104208111763000e-02 3.233740804716944695e-03 3.866843762807548046e-04
4.085970447445761238e+03 1.622459851205348969e-02 3.564167302101850510e-03 4.936011391691863537e-04 1.577613130211830139e-02 3.231048816815018654e-03 3.875437541864812374e-04
4.086651970794762292e+03 1.616222225129604340e-02 3.559145843610167503e-03 4.953247262164950371e-04 1.571198925375938416e-02 3.228793619200587273e-03 3.886903577949851751e-04
4.087333607819102326e+03 1.585626602172851562e-02 3.535019699484109879e-03 4.961274680681526661e-04 1.537012029439210892e-02 3.218036843463778496e-03 3.895529080182313919e-04
4.088015358537742031e+03 1.575968228280544281e-02 3.516572294756770134e-03 4.934435710310935974e-04 1.527160033583641052e-02 3.205304965376853943e-03 3.873204404953867197e-04
4.088697222969645281e+03 1.568472199141979218e-02 3.498422447592020035e-03 4.904694505967199802e-04 1.519942097365856171e-02 3.192250616848468781e-03 3.847969346679747105e-04
4.089379201133778224e+03 1.585825160145759583e-02 3.472635522484779358e-03 4.818080051336437464e-04 1.544375251978635788e-02 3.166526556015014648e-03 3.767879388760775328e-04
4.090061293049111555e+03 1.597099937498569489e-02 3.455623751506209373e-03 4.750241641886532307e-04 1.560345012694597244e-02 3.147349925711750984e-03 3.706384741235524416e-04
4.090743498734617788e+03 1.604332402348518372e-02 3.437781240791082382e-03 4.687452747020870447e-04 1.570846885442733765e-02 3.127653617411851883e-03 3.649624995887279510e-04
4.091425818209274439e+03 1.600044406950473785e-02 3.395314794033765793e-03 4.577162326313555241e-04 1.566591300070285797e-02 3.082728711888194084e-03 3.550761321093887091e-04
4.092108251492060390e+03 1.590223610401153564e-02 3.359082154929637909e-03 4.508024721872061491e-04 1.555908005684614182e-02 3.045336343348026276e-03 3.486180212348699570e-04
4.092790798601958613e+03 1.581639982759952545e-02 3.327778773382306099e-03 4.448921536095440388e-04 1.547036692500114441e-02 3.013199195265769958e-03 3.431812510825693607e-04
4.093473459557954811e+03 1.567083224654197693e-02 3.275594441220164299e-03 4.351965326350182295e-04 1.533144153654575348e-02 2.960044192150235176e-03 3.344748402014374733e-04
4.094156234379037869e+03 1.545439008623361588e-02 3.197155660018324852e-03 4.201632982585579157e-04 1.509517338126897812e-02 2.882760483771562576e-03 3.214436583220958710e-04
4.094839123084200310e+03 1.524353679269552231e-02 3.129173768684267998e-03 4.080061917193233967e-04 1.486593764275312424e-02 2.817230764776468277e-03 3.109003300778567791e-04
4.095522125692437839e+03 1.488105673342943192e-02 3.021263983100652695e-03 3.897502319887280464e-04 1.447284501045942307e-02 2.714946400374174118e-03 2.950610651168972254e-04
4.096205242222747984e+03 1.436655409634113312e-02 2.896560588851571083e-03 3.716768405865877867e-04 1.398470718413591385e-02 2.599571133032441139e-03 2.793564926832914352e-04
4.096888472694134180e+03 1.401252858340740204e-02 2.808223245665431023e-03 3.591759013943374157e-04 1.368547510355710983e-02 2.517724409699440002e-03 2.688701788429170847e-04
4.097571817125599409e+03 1.356797385960817337e-02 2.695491304621100426e-03 3.434320678934454918e-04 1.333588082343339920e-02 2.413194393739104271e-03 2.559306158218532801e-04
4.098255275536153931e+03 1.278258021920919418e-02 2.500384114682674408e-03 3.159046464134007692e-04 1.270600780844688416e-02 2.234918531030416489e-03 2.349837595829740167e-04
4.098938847944806184e+03 1.208511181175708771e-02 2.349202288314700127e-03 2.946169988717883825e-04 1.207679044455289841e-02 2.099589910358190536e-03 2.191007079090923071e-04
